Categories|Name 1|Name 2|Phone|Address 1|Address 2
Agriculture
|FENTON FAMILY VINEYARDS|FENTON FAMILY VINEYARDS|4087996510|3055 PASEO VISTA|San Martin CA 95046
|FFL Enterprise Inc DBA United Wholesale Flowers||4088812793|2510 Channing Ave|San Jose CA 95131
|Testarossa Vineyards, LLC.|Testarossa Winery|(831) 566-4578|300 A College Ave.|Los Gatos CA 95030
|Capitol Wholesale Nursery, Inc.|Capitol Wholesale Nursery|408-239-0589|2938 Everdale Drive|San Jose, CA CA 95148
|Global Mushrooms, LLC||408-846-6466|5470 Frazier Lake Road|Gilroy CA 95020
|Jacobs Farm-Del Cabo, Inc||(650) 580-5234|5283 Snell Avenue|San Jose CA 95136
|Everyday Greens|Everyday Greens|8312073572|3545 Cañada Rd|Gilroy CA 95020
|Ogawa Mune Inc.||5107937123|123 Mayhews Rd|Fremont CA 94536
|Kawahara Nursery, Inc.||4085902828|698 Burnett Ave.|Morgan Hill CA 95037
|Veggielution||4084380243|647 S. King Road|San Jose CA 95116
|Apollo Seeds USA Inc||408-779-0784|16495 and 16470 Vineyard Blvd|Morgan Hill CA 95037
|William Y. Gil, INC. DBA Grass Farm Garden Accents||408-846-4555|11155 Lena Avenue|Gilroy CA 95020
|K||K|No physical address|
|Gilroy Young Plants||(408) 590-2828|270 Rucker Ave.|Gilroy CA 95020
|AddLife,Inc.||650.421.5307|1190 Kern Avenue|Sunnyvale CA 94085
|Yummy Tummy Farms LLC|Yummy Tummy Farms LLC|408-320-5365|5611 Doorn Lane|San Jose CA 95118
|Veggielution||4082345390|647 S. King Rd.|San Jose CA 95116
|Portola Vineyards LLC||650-906-1059|850 Los Trancos Rd|Portola Valley (City of Palo Alto) CA 94028
|Alexander Labor Inc|N/A|(805)889-4071|14485 LLagas Avenue|San Martin CA CA 95046
|De Anza Properties||650.209.3232|960 N San Antonio Rd, Suite 114|Los Altos CA 94022
|Valley Verde||(408) 666-4794|59 S Autumn St.|San Jose CA 95110
|C. J. Olson||408 891-1753|560 E. Remington Drive|Sunnyvale CA 94087
|JN Development, Inc.|Haze|408-506-9137|1731 Smith Ave|San Jose CA 95112
|Big Oak Ranch LLC|Lightpost Winery|408-762-7225|900 Lightpost Way|Morgan Hill CA 95037
|Sakata Seed America||6698884880|18095 Serene Dr|Morgan Hill CA 95037
